participant_id,question_id,ta,part,answered,t_end,randomness_label,randomness_label_num,t_answer
participant_1,question_1,0.0991503900000007,Timer-Correct,1,61.42,NOT_RANDOM,0,61.32084961
participant_1,question_10,0.014221679999999652,Timer-No-Correct,1,84.9,RANDOM,1,84.88577832
participant_1,question_11,0.02862891000000036,Timer-Correct,1,82.33,NOT_RANDOM,0,82.30137109
participant_1,question_12,0.022239749999999732,Timer-No-Correct,1,86.17,RANDOM,1,86.14776025
participant_1,question_13,0.03771288999999979,No-Timer,1,174.32,NOT_RANDOM,0,174.28228711
participant_1,question_14,0.044993649999999434,No-Timer,1,49.05,NOT_RANDOM,0,49.005006349999995
participant_1,question_15,0.018333980000000336,Timer-Correct,1,39.65,NOT_RANDOM,0,39.63166602
participant_1,question_2,0.03651953000000049,Timer-No-Correct,1,84.35,RANDOM,1,84.31348046999999
participant_1,question_3,0.01912988999999925,No-Timer,1,79.43,NOT_RANDOM,0,79.41087011
participant_1,question_4,0.017020510000000287,Timer-Correct,1,41.54,NOT_RANDOM,0,41.52297949
participant_1,question_5,0.015606439999999566,No-Timer,1,31.91,RANDOM,1,31.89439356
participant_1,question_6,0.07175342000000001,Timer-No-Correct,1,44.53,RANDOM,1,44.45824658
participant_1,question_7,0.011453129999999874,Timer-No-Correct,1,84.47,RANDOM,1,84.45854686999999
participant_1,question_8,0.03696875,Timer-Correct,1,37.0,NOT_RANDOM,0,36.96303125
participant_1,question_9,0.04350586000000021,No-Timer,1,73.84,NOT_RANDOM,0,73.79649414000001
participant_10,question_1,0.00634442,No-Timer,1,23.2,RANDOM,1,23.193655579999998
participant_10,question_10,0.028507319999999937,Timer-Correct,1,33.51,NOT_RANDOM,0,33.481492679999995
participant_10,question_11,0.023391360000000076,No-Timer,1,101.03,NOT_RANDOM,0,101.00660864
participant_10,question_12,0.015975459999999997,No-Timer,1,132.46,NOT_RANDOM,0,132.44402454000002
participant_10,question_13,0.014776669999999967,Timer-Correct,1,54.28,NOT_RANDOM,0,54.26522333
participant_10,question_14,0.010422670000000038,Timer-No-Correct,1,40.88,RANDOM,1,40.869577330000006
participant_10,question_15,0.011306649999999991,No-Timer,1,23.49,RANDOM,1,23.478693349999997
participant_10,question_2,0.003455470000000005,Timer-Correct,1,17.5,RANDOM,1,17.49654453
participant_10,question_3,0.0939117,Timer-Correct,1,37.81,NOT_RANDOM,0,37.7160883
participant_10,question_4,0.07158642999999998,No-Timer,1,34.6,NOT_RANDOM,0,34.52841357
participant_10,question_5,0.021062290000000018,Timer-No-Correct,1,29.81,RANDOM,1,29.78893771
participant_10,question_6,0.027416539999999996,Timer-No-Correct,1,82.01,RANDOM,1,81.98258346
participant_10,question_7,0.02381268,Timer-No-Correct,1,49.43,RANDOM,1,49.40618732
participant_10,question_8,0.01813873000000001,Timer-No-Correct,1,52.57,RANDOM,1,52.55186127
participant_10,question_9,0.018321590000000016,Timer-Correct,1,42.01,NOT_RANDOM,0,41.99167841
participant_11,question_1,0.02030944999999997,Timer-No-Correct,1,64.25,RANDOM,1,64.22969055
participant_11,question_10,,No-Timer,1,23.41,INVALID,-1,
participant_11,question_11,0.010153680000000121,Timer-No-Correct,1,76.09,RANDOM,1,76.07984632
participant_11,question_12,0.023276730000000044,Timer-Correct,1,40.09,NOT_RANDOM,0,40.066723270000004
participant_11,question_13,0.03669958999999994,Timer-No-Correct,1,42.29,RANDOM,1,42.25330041
participant_11,question_14,0.014923710000000028,No-Timer,1,57.96,NOT_RANDOM,0,57.94507629
participant_11,question_15,0.06068091000000004,Timer-Correct,1,39.36,NOT_RANDOM,0,39.29931909
participant_11,question_2,0.03390125000000012,Timer-No-Correct,1,83.19,RANDOM,1,83.15609875
participant_11,question_3,0.014521850000000086,No-Timer,1,25.51,RANDOM,1,25.49547815
participant_11,question_4,0.02501807000000008,Timer-Correct,1,27.34,NOT_RANDOM,0,27.31498193
participant_11,question_5,0.014495599999999968,No-Timer,1,26.26,RANDOM,1,26.2455044
participant_11,question_6,0.03334192000000007,Timer-Correct,1,39.62,NOT_RANDOM,0,39.58665808
participant_11,question_7,0.03139501999999993,Timer-Correct,1,29.78,NOT_RANDOM,0,29.74860498
participant_11,question_8,0.014936159999999973,Timer-No-Correct,1,24.35,RANDOM,1,24.33506384
participant_11,question_9,0.01809229000000005,No-Timer,1,23.42,RANDOM,1,23.401907710000003
participant_12,question_1,0.05244241000000001,No-Timer,1,17.15,RANDOM,1,17.097557589999997
participant_12,question_10,,Timer-No-Correct,1,68.19,INVALID,-1,
participant_12,question_11,0.009893219999999986,Timer-No-Correct,1,72.49,RANDOM,1,72.48010678
participant_12,question_12,0.009632409999999992,No-Timer,1,59.03,NOT_RANDOM,0,59.02036759
participant_12,question_13,0.003349519999999984,Timer-No-Correct,1,26.52,RANDOM,1,26.51665048
participant_12,question_14,0.014275199999999984,Timer-Correct,1,9.76,RANDOM,1,9.7457248
participant_12,question_15,,Timer-Correct,1,12.57,INVALID,-1,
participant_12,question_2,0.01859492,Timer-No-Correct,1,79.18,RANDOM,1,79.16140508000001
participant_12,question_3,0.011850180000000009,Timer-Correct,1,18.8,RANDOM,1,18.78814982
participant_12,question_4,,Timer-Correct,1,12.15,INVALID,-1,
participant_12,question_5,0.0031617900000000245,Timer-No-Correct,1,24.74,RANDOM,1,24.73683821
participant_12,question_6,0.01811292999999998,No-Timer,1,42.11,NOT_RANDOM,0,42.09188707
participant_12,question_7,0.009237799999999992,No-Timer,1,44.19,NOT_RANDOM,0,44.1807622
participant_12,question_8,0.008639259999999978,Timer-Correct,1,17.99,RANDOM,1,17.98136074
participant_12,question_9,,No-Timer,1,22.85,INVALID,-1,
participant_13,question_1,,Timer-Correct,1,75.73,INVALID,-1,
participant_13,question_10,0.047907159999999976,Timer-No-Correct,1,60.19,RANDOM,1,60.14209284
participant_13,question_11,0.08424578999999995,No-Timer,1,156.94,NOT_RANDOM,0,156.85575421
participant_13,question_12,0.04784667999999988,Timer-No-Correct,1,85.61,RANDOM,1,85.56215332
participant_13,question_13,0.07690296000000012,Timer-No-Correct,1,86.7,RANDOM,1,86.62309704
participant_13,question_14,0.057137200000000124,No-Timer,1,103.22,NOT_RANDOM,0,103.1628628
participant_13,question_15,0.036264289999999845,Timer-Correct,1,50.98,NOT_RANDOM,0,50.94373571
participant_13,question_2,0.06903428999999997,No-Timer,1,121.66,NOT_RANDOM,0,121.59096570999999
participant_13,question_3,0.11848795000000001,Timer-No-Correct,1,82.71,RANDOM,1,82.59151204999999
participant_13,question_4,0.03948102,Timer-No-Correct,1,84.87,RANDOM,1,84.83051898000001
participant_13,question_5,,Timer-Correct,1,59.49,INVALID,-1,
participant_13,question_6,0.038529539999999994,No-Timer,1,46.52,NOT_RANDOM,0,46.481470460000004
participant_13,question_7,0.016424740000000042,Timer-Correct,1,31.84,NOT_RANDOM,0,31.82357526
participant_13,question_8,0.04453783999999996,No-Timer,1,88.88,NOT_RANDOM,0,88.83546215999999
participant_13,question_9,0.020263119999999957,Timer-Correct,1,81.52,NOT_RANDOM,0,81.49973688
participant_14,question_1,0.007481940000000123,No-Timer,1,41.84,NOT_RANDOM,0,41.832518060000005
participant_14,question_10,0.036200199999999766,No-Timer,1,37.65,NOT_RANDOM,0,37.613799799999995
participant_14,question_11,0.0289370100000001,No-Timer,1,48.83,NOT_RANDOM,0,48.80106299
participant_14,question_12,0.037604980000000066,Timer-No-Correct,1,51.03,RANDOM,1,50.992395020000004
participant_14,question_13,0.02481714000000011,Timer-Correct,1,42.0,NOT_RANDOM,0,41.97518286
participant_14,question_14,0.013088870000000042,No-Timer,1,31.71,RANDOM,1,31.69691113
participant_14,question_15,0.007080320000000029,Timer-Correct,1,27.19,NOT_RANDOM,0,27.18291968
participant_14,question_2,0.0071408700000001775,Timer-Correct,1,23.57,RANDOM,1,23.56285913
participant_14,question_3,0.007065920000000006,Timer-No-Correct,1,82.29,RANDOM,1,82.28293408
participant_14,question_4,0.02152979000000005,No-Timer,1,21.69,RANDOM,1,21.668470210000002
participant_14,question_5,0.030639160000000176,Timer-No-Correct,1,31.96,RANDOM,1,31.92936084
participant_14,question_6,0.03610327000000007,Timer-No-Correct,1,69.94,RANDOM,1,69.90389673
participant_14,question_7,0.02034349999999995,Timer-Correct,1,75.6,NOT_RANDOM,0,75.5796565
participant_14,question_8,0.01896361999999999,Timer-No-Correct,1,45.86,RANDOM,1,45.84103638
participant_14,question_9,0.01334349999999995,Timer-Correct,1,34.62,NOT_RANDOM,0,34.6066565
participant_15,question_1,0.0031679400000000015,Timer-No-Correct,1,80.67,RANDOM,1,80.66683206
participant_15,question_10,0.0,Timer-Correct,1,24.82,RANDOM,1,24.82
participant_15,question_11,0.001205500000000029,No-Timer,1,58.34,NOT_RANDOM,0,58.338794500000006
participant_15,question_12,0.0,Timer-Correct,1,86.04,NOT_RANDOM,0,86.04
